docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon,DEAD,WIND,RED,STRANGE,HALF,GREY,TIS,BETWEEN,FAITH,WOMAN,GRASS,SUDDEN,BROWN,LEST,YELLOW,SHUT,HOLLOW,MOUTH,WOMEN,NIGHTS,DUMB,WRITTEN,BLOWN,STIR,ASLEEP,I_LL,LAUGHED,NATION,HERS,SCENES,WAN,I_VE,TREASURES,KNEES,FRIENDSHIP,NAKED,PEN,STRAINS,ACHING,SITTING,YESTERDAY,GARDENS,PASSIONATE,PURSUE,WE_LL,WOULDST,CREEPING,DUSK,BROODING,UNDERNEATH,SMOTE,BREATHLESS,SAVIOUR,REIGNS,BLOWING,HARSH,COLOURED,DUSTY,VAGUE,MOANING,IMPART,JESUS,CURLED,HURRYING,SHAKEN,FOLK,BESTOW,HURT,MISSION,LONDON,BEATEN,ALIEN,DRIPPING
uc2.ark+=13960=t9280b81v,1897,1897,1897,random,,,Green[COMMA] Septimus G.,London;E. Stock;1897.,s,Jennifred,,,,,,,m,uk,,,,11,21,9,8,21,8,22,7,1,5,5,11,1,4,2,0,7,2,1,4,4,5,2,2,3,4,3,0,11,6,2,3,2,2,3,2,0,3,1,1,0,0,1,0,1,4,0,0,1,1,2,2,0,0,1,2,0,1,0,1,3,0,1,2,0,2,0,1,0,1,0,1,3
nyp.33433081895090,1897,1897,1897,random,,,Fordham[COMMA] Mary Weston.,Charleston[COMMA] S. C.;Walker[COMMA] Evans & Cogswell Co.;c1897,,Magnolia leaves,,,,,,1844,f,us,,Af-Am poet,,12,6,2,1,2,5,16,0,2,5,3,0,3,2,1,0,0,0,0,3,0,0,1,1,3,15,0,1,0,2,0,4,1,1,4,0,3,0,3,2,0,0,0,0,7,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
uc1.b167385,1896,1896,1896,reviewed,6642393,2888986,Chesson[COMMA] Nora[COMMA],London;Lane;1896.,,Under quicken boughs,rev,pos,,1899,FR,1871,f,uk,,,,37,62,55,8,16,52,5,5,2,4,9,2,8,2,14,4,8,5,7,4,14,0,9,2,3,7,1,0,5,0,1,2,0,2,0,0,0,0,0,0,3,4,0,0,1,1,1,7,0,0,0,1,0,0,8,0,2,0,0,0,0,0,0,1,1,7,0,0,0,1,0,8,0
mdp.39015066062160,1902,1902,1896,reviewed,484306,360509,Housman[COMMA] A. E.,Philadelphia;Henry Altemus company;1902?].,,A Shropshire lad,rev,pos,,1898,FR,1859,m,uk,,,y,16,12,1,0,2,1,41,1,1,2,1,0,1,0,1,1,3,0,0,1,1,0,1,2,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,3,0,5,0,0,0
uc2.ark+=13960=t7pn9060k,1906,1896,1896,reviewed,7657976,6510884,Dowson[COMMA] Ernest Christopher[COMMA],London;New York;J. Lane;1906.,,The poems of Ernest Dowson,pub,,,1896,SAV,1867,m,uk,,,y,19,9,15,7,4,11,7,2,0,5,7,1,2,5,0,1,2,7,2,3,1,1,0,2,1,0,0,0,2,0,5,0,1,0,0,0,0,1,0,1,5,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,2,0,2,1,0,0,2,0,0,0
uc2.ark+=13960=t7sn0664h,1896,1896,1896,reviewed,7685257,1032839,Alexander[COMMA] Cecil Frances[COMMA],London;Macmillan;New York;Macmillan;1896.,,Poems,rev,pos,pop,1896,BM,1818,f,ir,,,,76,43,70,40,31,44,50,10,43,37,18,12,20,4,15,10,7,2,12,4,4,6,2,7,5,5,4,3,5,5,12,8,2,3,0,0,2,12,3,8,1,5,4,1,5,4,4,0,3,9,1,2,44,1,3,3,4,1,0,3,2,40,2,0,2,0,0,1,1,0,0,0,1
uc2.ark+=13960=t87h1kw4b,1897,1897,1896,reviewed,6059713,4466067,AE[COMMA],New York;London;J. Lane;c1897.,,The earth breath and other poems,rev,pos,,1899,FR,1867,m,ir,Russell[COMMA] George William,,,8,3,6,3,9,9,6,5,0,1,3,1,1,0,2,0,1,0,0,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,1,0,3,1,0,0,4,0,2,0,1,1,0,1,0,0,0,1,0
uc1.b4107944,1896,1896,1896,reviewed,6157032,214927327,Rossetti[COMMA] Christina Georgina[COMMA],London;New York;Macmillan;1896.,,New poems by Christina Rossetti,rev,,,1896,BM,1830,f,uk,,,y,72,45,26,9,19,11,7,12,17,11,20,5,8,8,8,11,1,6,4,4,16,4,5,13,17,4,1,2,2,0,6,2,0,0,2,1,3,2,5,5,4,3,1,3,1,8,1,1,2,7,1,0,3,3,2,2,0,0,0,3,0,11,2,0,0,0,0,1,0,1,0,0,0
njp.32101049721457,1896,1896,1896,random,8897590,,Ainslie[COMMA] R. St. John,Leeds;R. Jackson;1896.,,Sedbergh school songs,,,,,,1861,m,uk,,,,1,2,2,0,3,2,5,0,0,0,0,0,2,1,1,1,0,1,0,1,0,2,0,0,0,1,0,2,1,0,1,2,0,0,1,1,2,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
loc.ark+=13960=t1cj90444,1896,1896,1896,random,9594736,,Ramsey[COMMA] V. G.,Boston;The Morning Star Publishing House;1896.,,A censer;,,,,,,1817,f,us,,,,23,15,20,3,6,7,18,2,16,12,2,1,4,1,6,2,0,0,5,3,0,2,0,4,1,2,0,8,2,1,0,12,8,0,1,2,0,2,6,3,1,2,1,2,1,1,2,0,1,0,0,0,15,3,0,0,0,3,0,2,2,21,0,0,1,0,2,0,0,0,1,0,1
