docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
loc.ark+=13960=t0gt62k04,1902,1902,1902,random,9598235,,Wilder[COMMA] Cordelia Beardsley.,Coventry[COMMA] N.Y.;Binghamton[COMMA] Press of Chronicle Pub. Co.;1902.,,Kitchen visits with the muses,,,,,,1839,f,us,,,
uc2.ark+=13960=t3kw59z20,1902,1902,1902,reviewed,283582,2675845,Cawein[COMMA] Madison Julius[COMMA],Louisville;J. P. Morton & company;1902.,,A voice on the wind,rev,,,1903,ATL,1865,m,us,,,
uc2.ark+=13960=t57d2rh5g,1902,1902,1902,reviewed,449898,1211824,Millard[COMMA] Bailey[COMMA],San Francisco;Elder & Shepard;1902.,,Songs of the press and other adventures in verse,rev,,pop,1902,ATL,1859,m,us,,obscure,
mdp.39015030659935,1902,1902,1902,reviewed,778693,2904707,Bridges[COMMA] Robert[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1902.,,Bramble Brae,rev,pos,,1902,ATL,1844,m,uk,,,
loc.ark+=13960=t77s88w2s,1902,1902,1902,reviewed,9591607,8330245,Wetherald[COMMA] A. Ethelwyn.,Boston;R.G. Badger;1902.,,Tangled in stars;,rev,,,1903,ATL,1857,f,ca,,,
uc2.ark+=13960=fk5p84448t,1902,1902,1902,reviewed,8658129,9841814,Taylor[COMMA] Bert Leston[COMMA],Evanston [Ind.;W.S. Lord;1902.,,Line-o[APOSTROPHE]-type lyrics,rev,pos,pop,1902,ATL,1866,m,us,,,
uc2.ark+=13960=t56d5wq45,1902,1902,1902,reviewed,7665330,1490725,MacManus[COMMA] Anna[COMMA],Dublin;M.H. Gill and son;1902.,,The four winds of Eirinn,rev,pos,,1903,FR,1866,f,ir,Carbery[COMMA] Ethna,,
uc2.ark+=13960=t3707xn1m,1902,1902,1902,reviewed,7654606,249986,Carryl[COMMA] Guy Wetmore[COMMA],Boston;and New York;Houghton[COMMA] Mifflin & Co.;1902,,Grimm tales made gay,rev,pos,,1903,ATL,1873,m,us,,,
loc.ark+=13960=t07w6wd9p,1902,1902,1902,reviewed,9561163,,Stevens[COMMA] Thomas Wood[COMMA],Chicago;Blue Sky Press;1902.,,The morning road,rev,neg,pop,1903,ATL,1880,m,us,,,
loc.ark+=13960=t0qr5g21z,1902,1902,1902,random,9585744,,Haswin[COMMA] Frances Rosina. [from old catalog],Wausau[COMMA] Wis.;Van Vechten & Ellis;1902,,Some songs and verses,,,,,,,,,,,
nyp.33433082501119,1902,1902,1902,random,8655938,,Molina[COMMA] Julia Wolff.,New York;London [etc.;The Abbey Press;1902,,Mingled sweets and bitters; or[COMMA] My legacy,,,,,,,,,,,
loc.ark+=13960=t1zc8cv86,1902,1902,1902,random,9562257,,Van Cleve[COMMA] Alice Davis. [from old catalog],New York;R. H. Rvssell;1902.,,The Queen[APOSTROPHE]s rosary,,,,,,1857,f,us,,,
uc1.b3312256,1902,1902,1902,random,6130530,,Payne[COMMA] John[COMMA],London;Printed for the Villon Society;1902;(Leyden (Holland);Printed by E.J. Brill),v.1,The poetical works of John Payne,,,,,,1842,m,uk,,,
loc.ark+=13960=t7wm1th1h,1902,1902,1902,random,9581714,,McClintick[COMMA] William Trimble. [from old catalog],Chillicothe[COMMA] O.;The A. Scholl press;1902.,,Verses written during a busy lawyer[APOSTROPHE]s life,,,,,,1819,m,us,,,
loc.ark+=13960=t4zg76m6h,1901,1901,1901,reviewed,6130494,1800519,Moody[COMMA] William Vaughn[COMMA],Boston;New York;Houghton[COMMA] Mifflin;c1901,,Poems,rev,pos,,1901,ATL,1869,m,us,,,
uc1.b3579606,1901,1901,1901,reviewed,6678572,4781270,Gilder[COMMA] Richard Watson[COMMA],New York;The Century co.;1901.,,Poems and inscriptions,rev,pos,,1902,ATL,1844,m,us,,,
uc2.ark+=13960=t5h990m69,1901,1901,1901,reviewed,6501476,1209225,Branch[COMMA] Anna Hempstead[COMMA],Boston and;New York;Houghton[COMMA] Mifflin and company;1901.,,The heart of the road,rev,,,1902,ATL,1875,f,us,,,
mdp.39015030707155,1901,1901,1901,reviewed,633815,288225,Meredith[COMMA] George[COMMA],Westminster;A. Constable;1901.,,A reading of life,rev,,,1901,FR,1828,m,uk,,,y
uc2.ark+=13960=t79s1pt8q,1901,1901,1901,reviewed,6518741,382076,Webb[COMMA] Charles Henry[COMMA],Boston;and New York;Houghton[COMMA] Mifflin and company;1901.,,With lead and line along varying shores;,rev,,,1902,ATL,1834,m,us,,,
uc2.ark+=13960=t27945p5k,1901,1901,1901,reviewed,7645856,360484,Henley[COMMA] William Ernest[COMMA],New York and London;Harper & brothers;1901.,,Hawthorn and lavender[COMMA] with other verses,rev,pos,,1902,ATL,1849,m,uk,,,y
loc.ark+=13960=t85h85q7m,1901,1901,1901,random,9563403,,Heyer[COMMA] Mary B.,New York;Abbey Press;1901,,Under the southern sun [poems],,,,,,1870,f,us,,,
nyp.33433082209572,1902,1902,1901,random,8656240,,Edgar[COMMA] Timothy Bloomfield.,St. Louis;Privatedly printed;1902.,,Poems[COMMA] rhymes[COMMA] and sayings,,,,,,1815,m,us,,,
nyp.33433075808877,1901,1901,1901,random,6641440,,McMahon[COMMA] Patrick Maurice[COMMA],San Francisco;Stanley-Taylor Co.;1901.,,From fair Hawaiiland;,,,,,,1862,m,us,,,
nyp.33433075790992,1901,1901,1901,random,8656925,,Fitzpatrick[COMMA] Ernest Hugh.,Pontiac[COMMA] Ill.;Printed by the News Pub. Co.;1901,,The passing of William McKinley,,,,,,1863,m,us,,,
loc.ark+=13960=t47p9ff2j,1901,1901,1901,random,7652439,,Blood[COMMA] Henry Ames[COMMA],Washingtn[COMMA] D.C.;The Neale Publishing Company;1901.,,Selected poems of Henry Ames Blood,,,,,,1836,m,us,,,
loc.ark+=13960=t7dr3dz91,1901,1901,1901,random,9604013,,Pickett[COMMA] Anita Trueman[COMMA],New York;The Alliance pub. co.;1901.,,Philo-sophia;,,,,,,1881,f,us,,,
loc.ark+=13960=t91846423,1901,1901,1901,random,11212643,,Smith[COMMA] Robinson[COMMA],Cambridgeport[COMMA] Mass.;Hezlitt & Seaward;1901.,,The soul-at-arms and other poems,,,,,,1876,m,us,,,
loc.ark+=13960=t77s85d09,1901,1901,1901,random,9573333,,Dunham[COMMA] Sam C.,Washington[COMMA] D.C.;The Neale publishing co.;1901.,,The goldsmith of Nome,,,,,,1855,m,us,,,
uc2.ark+=13960=t9h41kd1k,1900,1900,1900,reviewed,7657101,6004575,Dorr[COMMA] Julia C. R.,New York;C. Scribner[APOSTROPHE]s sons;1900.,,Afterglow;,rev,pos,,1901,ATL,1825,f,us,,,
uc2.ark+=13960=t9c53mb7v,1901,1901,1900,reviewed,474669,5035217,Binyon[COMMA] Laurence[COMMA],London;Unicorn Press;1901.,,Odes,rev,,elite,1900,FR,1869,m,uk,,,
uc2.ark+=13960=t8mc8v73b,1900,1900,1900,reviewed,6641450,2805663,Mifflin[COMMA] Lloyd[COMMA],Boston and New York;Houghton[COMMA] Mifflin and company;1900.,,The fields of dawn and later sonnets,rev,pos,,1901,ATL,1846,m,us,,obscure,
loc.ark+=13960=t50g4bb04,1900,1900,1900,random,9573454,,Dickson[COMMA] William Bradford. [from old catalog],South Bend[COMMA] Ind.;Tribune co.;1900,,Psalms of soul,,,,,,,,,,,
nyp.33433044042400,1902,1902,1899,random,8613325,,Machar[COMMA] Agnes Maule[COMMA],London;E. Stock;1902.,,Lays of the [APOSTROPHE]True North[APOSTROPHE],,,,,,1837,f,ca,,,
mdp.39015011913525,1899,1899,1899,addcanon,1375622,,Dunbar[COMMA] Paul Laurence,New York;Dodd[COMMA] Mead;1899.,,Lyrics of the Hearthside,,,,,,1872,m,us,,Af-Am poet,y
mdp.39015046406727,1903,1903,1899,reviewed,,,Yeats[COMMA] W. B.,London;Elkin Matthews;1903.,,The wind among the reeds,rev,pos,,1907,FR,1865,m,ir,,,y
uc2.ark+=13960=t3ws8kz7m,1898,1898,1898,reviewed,477912,2481015,Tynan[COMMA] Katharine[COMMA],London;G. Richards;1898.,,The wind in the trees;,rev,pos,,1899,FR,1859,f,ir,,,
nyp.33433074874540,1898,1898,1898,reviewed,8663852,4354387,Rhys[COMMA] Ernest[COMMA],London;D. Nutt;1898.,,Welsh ballads,rev,pos,,1899,FR,1859,m,uk,,,
uc2.ark+=13960=t23b6296r,1898,1898,1898,reviewed,7692465,7628453,Shorter[COMMA] Dora Sigerson[COMMA],London;New York;John Lane;1898.,,The fairy changeling and other poems,rev,pos,,1899,FR,1866,f,ir,Sigerson[COMMA] Dora,,
uc2.ark+=13960=t0vq2sd89,1898,1898,1898,random,7667733,,Olmsted[COMMA] Charles Sanford[COMMA],Philadelphia;G. W. Jacobs & co.;1898.,,December musings and other poems,,,,,,1853,m,us,,,
uc1.b166365,1898,1898,1898,random,6641768,,Latymer[COMMA] Francis Burdett Thomas Coutts-Nevill[COMMA],London;New York;John Lane;1898.,,The Alhambra and other poems,,,,,,1852,m,uk,,,
mdp.39015030841830,1898,1898,1898,random,1372238,,<blank>,St. Albans[COMMA] Vt.;Wallace-Cummings Print. Co.;1898.,,Vermont verse,,,,,,1878,m,us,Taft[COMMA] Russell W.,,
hardywessexpoems1898,1898,1898,1898,addcanon,,,Hardy[COMMA] Thomas,,,Wessex Poems,,,,,,1840,m,uk,,,y
loc.ark+=13960=t4dn4r64d,1897,1897,1897,reviewed,9593667,,Stedman[COMMA] Edmund Clarence[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Co.;1897.,,Poems[COMMA] now first collected,rev,,,1898,ATL,1833,m,us,,,
uc1.b3576647,1897,1897,1897,reviewed,1024642,350184,Symons[COMMA] Arthur[COMMA],London;L. Smithers;New York;G.H. Richmond and co.;1897.,,Amoris victima,pub,,,1896,SAV,1865,m,uk,,,
nyp.33433074802640,1897,1897,1897,random,8657038,,Young[COMMA] Claiborne Addison.,Boston;Estes & Lauriat;1897.,,Way songs and wanderings,,,,,,1843,m,us,,,
nyp.33433076031859,1897,1897,1897,random,8637086,,Riley[COMMA] James Whitcomb[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1897-1914.,v. 9 Armazindy,The poems and prose sketches of James Whitcomb Riley,,,,,,1849,m,us,,,
nyp.33433074901194,1897,1897,1897,random,7689169,,Howard[COMMA] Henry Newman[COMMA],London;E. Stock;1897.,,Footsteps of Proserpine and other verses and interludes,,,,,,1861,m,uk,,,
uc2.ark+=13960=t9280b81v,1897,1897,1897,random,,,Green[COMMA] Septimus G.,London;E. Stock;1897.,s,Jennifred,,,,,,,m,uk,,,
nyp.33433081895090,1897,1897,1897,random,,,Fordham[COMMA] Mary Weston.,Charleston[COMMA] S. C.;Walker[COMMA] Evans & Cogswell Co.;c1897,,Magnolia leaves,,,,,,1844,f,us,,Af-Am poet,
uc1.b167385,1896,1896,1896,reviewed,6642393,2888986,Chesson[COMMA] Nora[COMMA],London;Lane;1896.,,Under quicken boughs,rev,pos,,1899,FR,1871,f,uk,,,
mdp.39015066062160,1902,1902,1896,reviewed,484306,360509,Housman[COMMA] A. E.,Philadelphia;Henry Altemus company;1902?].,,A Shropshire lad,rev,pos,,1898,FR,1859,m,uk,,,y
uc2.ark+=13960=t7pn9060k,1906,1896,1896,reviewed,7657976,6510884,Dowson[COMMA] Ernest Christopher[COMMA],London;New York;J. Lane;1906.,,The poems of Ernest Dowson,pub,,,1896,SAV,1867,m,uk,,,y
uc2.ark+=13960=t7sn0664h,1896,1896,1896,reviewed,7685257,1032839,Alexander[COMMA] Cecil Frances[COMMA],London;Macmillan;New York;Macmillan;1896.,,Poems,rev,pos,pop,1896,BM,1818,f,ir,,,
uc2.ark+=13960=t87h1kw4b,1897,1897,1896,reviewed,6059713,4466067,AE[COMMA],New York;London;J. Lane;c1897.,,The earth breath and other poems,rev,pos,,1899,FR,1867,m,ir,Russell[COMMA] George William,,
uc1.b4107944,1896,1896,1896,reviewed,6157032,214927327,Rossetti[COMMA] Christina Georgina[COMMA],London;New York;Macmillan;1896.,,New poems by Christina Rossetti,rev,,,1896,BM,1830,f,uk,,,y
njp.32101049721457,1896,1896,1896,random,8897590,,Ainslie[COMMA] R. St. John,Leeds;R. Jackson;1896.,,Sedbergh school songs,,,,,,1861,m,uk,,,
loc.ark+=13960=t1cj90444,1896,1896,1896,random,9594736,,Ramsey[COMMA] V. G.,Boston;The Morning Star Publishing House;1896.,,A censer;,,,,,,1817,f,us,,,
uc2.ark+=13960=t71v5dh7m,1896,1896,1896,random,7666485,,Main[COMMA] William.,Melbourne;George Robertson;1896.,,Bush solitudes and other verses,,,,,,1860,m,au,,,
nyp.33433069354185,1896,1896,1896,random,8657956,,Pitcher[COMMA] James[COMMA],Hartwick Seminary[COMMA] N.Y.;J. Pitcher;1896.,,The hermit of Moss Pond,,,,,,1845,m,us,,,
uc2.ark+=13960=t07w6cd1m,1895,1895,1895,reviewed,7693626,1822323,Watson[COMMA] Rosamund Marriott[COMMA],London;J. Lane;Chicago;Way and Williams;1895.,,Vespertilia and other verses,pub,,,1895,YB,1860,f,uk,Tomson[COMMA] Graham R,,
nyp.33433075838023,1895,1895,1895,reviewed,8658014,16124963,Stoddard[COMMA] Elizabeth[COMMA],Boston and;New York;Houghton[COMMA] Mifflin and Company;1895;(Cambridge;The Riverside Press).,,Poems,rev,pos,,1896,ATL,1823,f,us,,,
uc1.b3546464,1895,1895,1895,reviewed,6672109,6566556,Johnson[COMMA] Lionel Pigot[COMMA],London;E. Mathews;Boston;Copeland & Day;1895.,,Poems,rev,pos,,1899,FR,1867,m,uk,,, 
uc2.ark+=13960=t4gm84g69,1895,1895,1895,random,6509532,,Cocke[COMMA] Zitella[COMMA],Boston;Copeland and Day;1895.,,A Doric reed,,,,,,1840,f,us,,,
loc.ark+=13960=t9183w60x,1895,1895,1895,random,6516864,,Savage[COMMA] Richard[COMMA],Chicago and New York;F. T. Neely;1895.,,After many years,,,,,,1846,m,us,,,
uc2.ark+=13960=t14m91w7c,1895,1895,1895,random,7660685,,Groser[COMMA] Horace George.,Edinburgh;A. Melrose;dedication[COMMA] 1895,,Little folks land,,,,,,1863,m,uk,,not actually juvenile audience,
loc.ark+=13960=t6543bf6c,1894,1894,1894,reviewed,9558530,6148800,Rogers[COMMA] Robert Cameron[COMMA],New York;London;G. P. Putnam[APOSTROPHE]s Sons;1894.,,The wind in the clearing,rev,,,1895,ATL,1862,m,us,,,
uc2.ark+=13960=t0zp3xm93,1894,1894,1894,reviewed,7674510,8912486,Tabb[COMMA] John B.,Boston;Small;1900[COMMA] c1894.,,Poems,rev,,,1895,ATL,1845,m,us,,,
loc.ark+=13960=t6pz5tc3h,1894,1894,1894,reviewed,9603767,,Parker[COMMA] Gilbert[COMMA],Cambridge [Mass.;Stone & Kimball;London;Methuen;1894;(New York;De Vinne Press),,A lover[APOSTROPHE]s diary,rev,,,1895,ATL,1862,m,ca,,,
loc.ark+=13960=t5k93s659,1894,1894,1894,reviewed,7676917,3102553,Williams[COMMA] Francis Howard[COMMA],New York;London;G. P. Putnam[APOSTROPHE]s sons;1894,,The flute-player and other poems,rev,,,1895,ATL,1844,m,us,,,
mdp.39015063940111,1894,1894,1894,reviewed,321637,13024779,Lee-Hamilton[COMMA] Eugene.,London;E. Stock;1894.,,Sonnets of the wingless hours,rev,,,1895,ATL,1845,m,uk,,,
uc2.ark+=13960=t2f766k62,1894,1894,1894,reviewed,7667277,3741532,Mitchell[COMMA] Langdon Elwyn[COMMA],Boston;New York;Houghton[COMMA] Mifflin and company;1894.,,Poems,rev,,,1895,ATL,1862,m,us,,,
uc2.ark+=13960=t26974b8z,1894,1894,1894,reviewed,7693632,1112477,Watson[COMMA] William[COMMA],London;John Lane;New York[COMMA] Macmillan & Co.;1894.,,Odes and other poems,rev,pos,,1895,FR,1858,m,uk,,,
uc1.b167484,1894,1894,1894,reviewed,539391,4796288,Davidson[COMMA] John[COMMA],London;J.Lane;Boston;Copeland & Day;1894.,,Ballads & songs,rev,,,1895,FR,1857,m,uk,,,
mdp.39015059422017,1894,1894,1894,random,482611,,Japp[COMMA] Alexander H.,London;Chatto & Windus;1894.,,Dramatic pictures,,,,,,1839,m,uk,,,
loc.ark+=13960=t2s475v8n,1894,1894,1894,random,9586845,,Battersby[COMMA] John H. [from old catalog],New York;J. R. Huth;1894.,,Poems patriotic,,,,,,,m,,,,
njp.32101066109255,1894,1894,1894,random,9246457,,Partridge[COMMA] William Ordway[COMMA],Boston;J. Wilson and Son;1894;(Boston;University Press),,Song-life of a sculptor,,,,,,1861,m,us,,Trans from Russian,
mdp.39015000544554,1894,1894,1894,random,1398769,,Thompson[COMMA] Francis[COMMA],London;E. Mathews & John Lane;Boston;Copeland & Day;1894.,v.1,Poems,,,,,,1859,m,uk,,Well-known,
loc.ark+=13960=t3xs6b07q,1894,1894,1894,random,9608950,,Choate[COMMA] Clara Elizabeth. [from old catalog],Boston;Lee and Shepard;1894,,Songs of truth,,,,,,1851,f,us,,,
uc2.ark+=13960=t3222ww5h,1894,1894,1894,random,7507454,,Image[COMMA] Selwyn[COMMA],London;Elkin Matthews;1894.,,Poems & carols,,,,,,1849,m,uk,,,
uc1.b274729,1894,1894,1894,random,6518179,,Thayer[COMMA] William Roscoe[COMMA],Boston;New York;Houghton Mifflin company;1894.,,Poems;,,,,,,1859,m,us,,,
loc.ark+=13960=t7kp8gj8r,1893,1893,1893,reviewed,8656635,1718752,Granniss[COMMA] Anna J.,Keene[COMMA] N.H.;Darling & company[COMMA] printers;1893.,,Skipped stitches[COMMA] verses,rev,,,1895,ATL,1856,f,us,,obscure,
nyp.33433075807317,1893,1893,1893,reviewed,8589568,4178539,McCulloch[COMMA] Hugh[COMMA],Cambridge [Mass.;Stone and Kimball;1894[COMMA] c1893.,,The quest of Heracles and other poems,rev,,,1895,ATL,1869,m,us,,,
njp.32101067628659,1893,1893,1893,reviewed,8961163,13778849,Barlas[COMMA] John Evelyn[COMMA],Dundee;J.P. Mathew;1893.,,Selections from Songs of a bayadere and Songs of a troubadour,rev,pos,,1896,YB,1860,m,uk,Douglas[COMMA] Evelyn,,
loc.ark+=13960=t8df7d08p,1893,1893,1893,reviewed,9575895,7225237,Hayne[COMMA] William Hamilton[COMMA],New York;F.A. Stokes company;1893.,,Sylvan lyrics and other verses,rev,,,1895,ATL,1856,m,us,,,
mdp.39015003700393,1893,1893,1893,reviewed,1398575,2040330,Garland[COMMA] Hamlin[COMMA],Cambridge [Mass.;and Chicago[COMMA] Stone and Kimball;1893.,,Prairie songs: being chants rhymed and unrhymed of the level lands of the great West,rev,,,1895,ATL,1860,m,us,,,
uc1.b182492,1893,1893,1893,random,116409,,Hale[COMMA] Edward Everett[COMMA],Boston;Roberts brothers;1893.,,For fifty years;,,,,,,1822,m,us,,,
uc2.ark+=13960=t3610z72h,1893,1893,1893,random,248683,,Merkley[COMMA] George Earle[COMMA],Toronto;Hart & Riddell;1893.,,Canadian melodies and poems,,,,,,1865,m,ca,,,
loc.ark+=13960=t57d3p237,1893,1893,1893,random,9560098,,Roberts[COMMA] Betsey Ann Smith.,Patchogue[COMMA] New York;Patchogue Advance Print;1893.,,Original poems,,,,,,1828,f,us,,,
nyp.33433082128426,1893,1893,1893,random,8613371,,Currie[COMMA] George G.,MontrÃ©al;John Lovell;1893.,,How I once felt,,,,,,1867,m,us,,,
uc2.ark+=13960=t7fq9w84p,1893,1893,1893,random,6509049,,Scott[COMMA] William Bell[COMMA],London;Elkin Mathews & John Lane;1893.,,A poet[APOSTROPHE]s harvest home,,,,,,1811,m,uk,,,
uc2.ark+=13960=t6zw19s10,1892,1892,1892,reviewed,9260502,1672767,Field[COMMA] Eugene[COMMA],Chicago;M.E. Stone;1892.,,Second book of verse,rev,,,1893,ATL,1850,m,us,,,
uva.x030758864,1892,1892,1892,reviewed,9775909,317331196,LÃ_ders[COMMA] Charles Henry[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1892.,,The dead nymph,rev,pos,,1893,ATL,1858,m,us,,,
uc2.ark+=13960=t1hh6d09g,1892,1892,1892,reviewed,7663358,4890096,Johnson[COMMA] Robert Underwood[COMMA],New York;The Century co.;1892.,,The winter hour[COMMA] and other poems,rev,,,1893,ATL,1853,m,us,,,
uc2.ark+=13960=t5n875h7n,1892,1892,1892,reviewed,6641083,3334273,Dorr[COMMA] Julia C. R.,New York;C. Scribner[APOSTROPHE]s Sons;1892.,,Poems,rev,,,1893,ATL,1825,f,us,,,
uc2.ark+=13960=t23b62184,1892,1892,1892,random,7689858,,Le Gallienne[COMMA] Richard[COMMA],London;Elkin Mathews and John Lane;New York;Cassell;1892.,,English poems,,,,,,1866,m,uk,,,
loc.ark+=13960=t1fj2t30n,1892,1892,1892,random,9610278,,Rowley[COMMA] A. A. [from old catalog],Topeka[COMMA] Kan.;G. W. Crane & company;1892.,,Kansas campaign songs,,,,,,,,,,,
nyp.33433074903737,1892,1892,1892,random,8663793,,Yarrington[COMMA] W. H. H.,Melbourne;Sydney;Adelaide;George Robertson and Co.;1892.,,Australian verses,,,,,,1839,m,au,,,
uc1.b2834136,1892,1892,1892,random,7344843,,Kinloch[COMMA] Marjory G. J.,London;K. Paul[COMMA] Trench[COMMA] TrÃ_bner;1892.,,A song-book of the soul,,,,,,1846,f,uk,,,
loc.ark+=13960=t63495d13,1893,1893,1892,random,9574797,,Carleton[COMMA] Will[COMMA],New York;Harper & brothers;1893.,,City festivals,,,,,,1845,m,us,,,
njp.32101067487577,1892,1892,1892,reviewed,8958226,,Yeats[COMMA] W. B.,London;T. F. Unwin;1892.,,Wanderings of Oisin,,,,1907,FR,1865,m,ir,,,y
uc2.ark+=13960=t88g8mb7n,1892,1892,1892,random,,,Daniel[COMMA] H. C.,London;Morgan;1892.,,Love[APOSTROPHE]s minstrel,,,,,,,m,uk,,,
uc1.b4382847,1891,1891,1891,reviewed,8658397,494513,Reese[COMMA] Lizette Woodworth[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Company;1891.,,A handful of lavender,rev,,,1891,ATL,1856,f,us,,,
loc.ark+=13960=t2891p34v,1891,1891,1891,reviewed,6641614,10831808,Cone[COMMA] Helen Gray[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Company;1891;(Cambridge [Mass.;The Riverside Press).,,The ride to the lady,rev,pos,,1891,ATL,1859,f,us,,,
nyp.33433075817829,1891,1891,1891,reviewed,5921648,2602417,Gilder[COMMA] Richard Watson[COMMA],N[ew] Y[ork;The Century co.;1891.,,Two worlds,rev,pos,,1891,ATL,1844,m,us,,,
uc1.b167406,1891,1891,1891,reviewed,6642403,3317176,Cawein[COMMA] Madison Julius[COMMA],New York;G. P. Putnam[APOSTROPHE]s sons;1891.,,Days and dreams,rev,neg,,1891,ATL,1865,m,us,,,
wu.89094594595,1892,1892,1891,random,5776761,,VÄƒcÄƒrescu[COMMA] Elena[COMMA],London;J. R. Osgood[COMMA] McIlvaine & co.;1892,,The bard of the Dimbovitza,,,,,, ,f,fr,,Well-known in France,
uc2.ark+=13960=t0dv1cw73,1891,1891,1891,random,7661643,,Irvine[COMMA] J. P.,Chicago;Manufactured by W.B. Conkey Co.;c1891.,,The green leaf and the gray,,,,,,,m,,,,
loc.ark+=13960=t2g740b7g,1891,1891,1891,random,9558911,,[Loomis[COMMA] George][COMMA],Parkersburg[COMMA] W.Va.;1891,,Memorial or Decoration day,,,,,,1824,m,us,,,
loc.ark+=13960=t40s0cg0n,1891,1891,1891,random,7649653,,Stevens[COMMA] Orrin Cedesman.,Holyoke[COMMA] Mass.;Griffith[COMMA] Axtell & Cady company;1891.,,An idyl of the sun[COMMA] and other poems,,,,,,,m,,,,
njp.32101013202740,1892,1892,1890,reviewed,8883653,19300524,Kipling[COMMA] Rudyard[COMMA],London;Methuen and Co.;1892;(Edinburgh;T. and A. Constable),,Barrack-room ballads,rev,,pop,1891,FR,1865,m,uk,,,y
uc2.ark+=13960=t1mg7j44g,1890,1890,1890,reviewed,1023187,824173,Bridges[COMMA] Robert[COMMA],London;G. Bell;1890.,,The shorter poems of Robert Bridges,rev,,pop,1894,FR,1844,m,uk,,,
nyp.33433066626783,1890,1890,1890,reviewed,242114,3716980,Moulton[COMMA] Louise Chandler[COMMA],Boston;Roberts bros.;1890.,,In the garden of dreams,rev,pos,,1893,FR,1835,f,us,,,
njp.32101067627149,1890,1890,1890,random,8961066,,Anderson[COMMA] Duncan[COMMA],Montreal;Printed by J. Lovell & Son;1890.,,Lays of Canada[COMMA] and other poems,,,,,,1828,m,ca,,,
loc.ark+=13960=t6k07vz1r,1890,1890,1890,random,9605969,,Stone[COMMA] Jasper Jay. [from old catalog],Caney[COMMA] Kan.;1890,,The veteran[APOSTROPHE]s qualifications for civil service,,,,,,,m,us,,,
uc2.ark+=13960=t7rn35b8n,1889,1889,1889,reviewed,6058104,603074,Blind[COMMA] Mathilde[COMMA],London;Chatto & Windus;1889.,,The ascent of man,rev,,,1889,BM,1841,f,uk,,,
uc2.ark+=13960=t8bg2n21x,1889,1889,1889,reviewed,7689964,11168588,Levy[COMMA] Amy[COMMA],London;T. Fisher Unwin;1889.,,A London plane-tree,rev,,,1890,BM,1861,f,uk,,,
uc2.ark+=13960=t1td9vq8p,1890,1890,1889,reviewed,585366,339320,Browning[COMMA] Robert[COMMA],London;Smith[COMMA] Elder[COMMA] & co. ...;1890.,,Asolando,rev,pos,,1890,BM,1812,m,uk,,,y
loc.ark+=13960=t3zs39k35,1891,1891,1889,random,9585464,,Crosby[COMMA] Powell R. [from old catalog],East Saginaw[COMMA] Mich.;Seemann & Peters[COMMA] printers;1891,,Po Crosby[APOSTROPHE]s Labor odes[COMMA] containing twenty-five beautiful odes,,,,,,1849,m,us,,,
loc.ark+=13960=t3rv11c37,1889,1889,1889,random,5946475,,Culler[COMMA] Lucy Yeend.,Burlington[COMMA] Iowa;Conrad Lutz[COMMA] Printing and Binding;1889.,,Violet,,,,,,1849,f,uk,,,
uc1.b2828936,1889,1889,1889,random,7313364,,Robertson[COMMA] Janet Logie.,Edinburgh;MacNiven and Wallace;1889.,,New songs of innocence,,,,,,,f,,,,
gerardmhopkins1918,1889,1889,1889,addcanon,,,Hopkins[COMMA] Gerard Manley,,,Poems of Gerard Manley Hopkins,,,,,,1844,m,uk,,1918 edition edited by Robert Bridges,y
uc1.b4410403,1888,1888,1888,reviewed,7508982,1024791,Lowell[COMMA] James Russell[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Co.;1888.,,Heartsease and rue,rev,pos,elite,1891,FR,1819,m,us,,,y
uc1.b119842,1888,1888,1888,random,6611572,,Mace[COMMA] Frances Parker (Laughton),Boston;Ticknor and company;1888.,,Under pine and plam,,,,,,1836,f,us,,,
nyp.33433066649108,1887,1887,1887,reviewed,8658921,3153405,Perry[COMMA] Nora[COMMA],Boston;Ticknor and Company;1887.,,New songs and ballads,rev,pos,,1887,ATL,1831,f,us,,,
uc1.b167383,1887,1887,1887,reviewed,6642391,3937162,Canton[COMMA] William[COMMA],Edinburgh;W. Blackwood;1887.,,A lost epic,rev,pos,,1887,BM,1845,m,uk,,,
nyp.33433069343402,1887,1887,1887,reviewed,8657816,16408879,Sill[COMMA] Edward Rowland[COMMA],Boston;Houghton[COMMA] Mifflin;1896[COMMA] c1887;(Cambridge;Riverside Press),,Poems,rev,,,1888,ATL,1841,m,us,,,
uc2.ark+=13960=t1zc7s42g,1887,1887,1887,reviewed,7684057,13531369,Deland[COMMA] Margaret Wade Campbell[COMMA],Boston;Houghton;1890[COMMA] c1887.,,Old garden & other verses,rev,pos,,1887,ATL,1857,f,us,,,
