docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
loc.ark+=13960=t2h70wf5d,1915,1915,1915,random,9565582,,Bolmer[COMMA] Clarence Buckmaster.,New York;The Knickerbocker press;c1915,,Day dreams,,,,,,1858,m,us,,,
nyp.33433066651138,1914,1914,1914,reviewed,8656518,20463618,Lindsay[COMMA] Vachel[COMMA],New York;The Macmillan Company;1919[COMMA] c1914.,,The Congo and other poems,rev,,,1915,PMV,1879,m,us,,,
uc1.$b439794,1914,1914,1914,reviewed,632042,284968,Kilmer[COMMA] Joyce[COMMA],New York;George H. Doran company;c1914,,Trees,rev,neg,,1914,PMV,1886,f,us,,,
uc2.ark+=13960=t4kk95h1q,1914,1914,1914,reviewed,6639062,1738726,Ben̩t[COMMA] William Rose[COMMA],New Haven;Yale University Press;1914.,,The falconer of God,rev,,,1914,PMV,1886,m,us,,,
loc.ark+=13960=t3029c41j,1914,1914,1914,reviewed,9574671,4323914,Clarke[COMMA] George Herbert[COMMA],Cincinnati;Stewart & Kidd;1914,,At the shrine,rev,neg,,1915,PMV,1873,m,us,,,
uc2.ark+=13960=fk9v11w414,1914,1914,1914,reviewed,8658399,290324,Untermeyer[COMMA] Louis[COMMA],New York;The Century co.;1914.,,Challenge,rev,neg,,1914,PMV,1885,m,us,,,
uc1.b3332871,1914,1914,1914,reviewed,7924703,1296560,Bangs[COMMA] John Kendrick[COMMA],New York;Macmillan;1914.,,The foothills of Parnassus,rev,neg,,1914,PMV,1862,m,us,,,
mdp.39015000595614,1914,1914,1914,reviewed,1376256,5104656,Oppenheim[COMMA] James[COMMA],New York;The Century co.;1914.,,Songs[COMMA] for the new age,rev,,,1914,PMV,1882,m,us,,,
uc2.ark+=13960=t5k93645c,1914,1914,1914,reviewed,1025611,5198135,Monro[COMMA] Harold[COMMA],London;Poetry Bookshop;1914.,,Children of love,rev,,,1914,EGO,1879,m,uk,,,
mdp.39015030756970,1914,1914,1914,reviewed,629642,288656,Lowell[COMMA] Amy[COMMA],New York;The MacMillan company;1914.,,Sword blades and poppy seed,rev,,,1914,EGO,1874,f,us,,,y
uc2.ark+=13960=t0ht2j42v,1914,1914,1914,reviewed,7682801,13539963,Rodker[COMMA] John[COMMA],Whitechapel;To be had of the Author;1914,,Poems,rev,,,1914,EGO,1894,m,uk,,,
njp.32101067172872,1917,1917,1914,reviewed,8956117,1810171,Sassoon[COMMA] Siegfried[COMMA],London;W. Heinemann;1917,,The old huntsman,rev,,,1914,PMV,1886,m,uk,,,y
nyp.33433066636329,1914,1914,1914,reviewed,6502296,11165602,Lee[COMMA] Agnes[COMMA],Boston;Sherman[COMMA] French;1914.,,The sharing,rev,,,1915,PMV,1868,f,us,,,
loc.ark+=13960=t40s0mt4z,1914,1914,1914,reviewed,633653,1496428,Monroe[COMMA] Harriet[COMMA],New York;The Macmillan company;1914.,,You and I,rev,,,1914,EGO,1860,f,us,,,
nyp.33433074961453,1914,1914,1914,random,8656710,,Tolman[COMMA] Emily.,Boston;Sherman[COMMA] French & Company;c1914,,To a summer cloud,,,,,,,,,,,
uc2.ark+=13960=t5q81605q,1915,1915,1914,random,7917228,,Morgan[COMMA] Angela.,New York;E.C. Lewis Co.;c1914.,,The hour has struck;,,,,,,1875,f,us,,,
uc2.ark+=13960=t5p848b89,1914,1914,1914,random,7686075,,Bonus[COMMA] John[COMMA],London;Longmans;1914.,,Thoughts in verse for my friends,,,,,,1828,m,uk,,,
loc.ark+=13960=t8gf19n4c,1914,1914,1914,random,8658103,,Stott[COMMA] Roscoe Gilmore.,Cincinnati;Stewart & Kidd company;1914,,The man sings,,,,,,1880,m,us,,,
nyp.33433066569025,1914,1914,1914,random,8657400,,Scofield[COMMA] William Bacon.,Worcester[COMMA] Mass.;The Commonwealth Press[COMMA] printers;1914.,,Verses,,,,,,1864,m,us,,,
